area,Year,Rooms,Location,Price,Floor
138,1399,2, Daryache,,
132,1401,3, Pasdaran,1850000000.0,5.0
144,1400,3, Zafar,2150000000.0,3.0
49,1383,1, Ahang,32000000.0,0.0
76,1387,2, Pounak,740000000.0,5.0
110,1401,2, Sattarkhan,93000000000.0,5.0
78,1394,2, Shahrak Parvaz,860000000.0,3.0
94,1399,2, Darband,14200000000.0,5.0
85,1401,2, Jannat Abad Markazi,1030000000.0,5.0
155,1395,3, Niavaran,2250000000.0,3.0
120,1401,3, Chitgar,306000000.0,16.0
94,1376,2, Kuy-e Ferdows,760000000.0,0.0
87,1400,2, Darian-e No,934000000.0,5.0
80,1391,2, Heravi,880000000.0,3.0
100,1402,2, Daryacheh Shahidaye Khalij-e Fars,280000000.0,9.0
165,1400,3, Zaferanieh,4800000000.0,3.0
53,1396,1, Jeyhun,32000000.0,4.0
155,1396,3, Saadat Abad,310000000.0,2.0
64,1393,1, Doctor Houshiar,450000000.0,1.0
358,1395,4, Niavaran,8100000000.0,9.0
85,1381,2, Sadeghiyeh,745000000.0,2.0
63,1389,2, Jeyhun,4000000000.0,1.0
200,1385,3, Velenjak,310000000.0,9.0
100,1401,2, Chitgar,280000000.0,15.0
100,1401,2, Chitgar,280000000.0,10.0
67,1389,1, Kuy-e Ferdows,730000000.0,3.0
132,1402,3, Saadat Abad,33000000000.0,5.0
148,1400,3, Saadat Abad,2800000000.0,2.0
48,1402,1, Azarbayjan,3905000000.0,1.0
114,1402,2, Saadat Abad,18080000000.0,6.0
155,1384,3, Daroos,210000000.0,2.0
110,1401,2, Sohrevardi,143000000000.0,4.0
125,1400,3, Mobarakeh-ye Besheti,3125000000.0,4.0
130,1401,2, Ghoba,1800000000.0,4.0
86,1382,2, Tehran-e No,516000000.0,2.0
79,1401,2, Azarbayjan,750000000.0,4.0
110,1401,2, Daroos,18700000000.0,3.0
148,1402,2, JorDan,2880000000.0,2.0
44,1383,1, Marzdaran,4488000000.0,2.0
400,1389,4, Niavaran,78650000000.0,3.0
88,1386,2, Shahrak Rah-Ahan,840000000.0,0.0
135,1378,3, Sadeghiyeh,100000000.0,3.0
77,1400,2, Andisheh (Shahr-e Ziba),705000000.0,1.0
150,1401,3, Niavaran,2600000000.0,1.0
138,1402,3, Daryacheh Shahidaye Khalij-e Fars,2250000000.0,6.0
42,1384,1, Ostad Moein,265000000.0,3.0
100,1381,2, Darband,1000000000.0,0.0
101,1401,2, Heravi,1320000000.0,4.0
120,1385,2, Eghtesadiyeh,1560000000.0,2.0
115,1390,3, Qeytariyeh,2000000000.0,3.0
125,1382,3, Qeytariyeh,1450000000.0,4.0
106,1402,2, Darb-e Dovom,1890000000.0,3.0
182,1395,3, Sharif,1820000000.0,0.0
140,1398,3, Koohak,1000000000.0,7.0
63,1400,2, Jeyhun,43000000000.0,1.0
110,1394,2, Marzdaran,13800000000.0,3.0
66,1389,1, Khalij Fars,328000000.0,0.0
49,1382,1, Hashemi,310000000.0,0.0
73,1399,2, Doctor Houshiar,5290000000.0,1.0
80,1386,2, Sazman Ab,745000000.0,1.0
120,1401,2, Chitgar,336000000.0,1.0
70,1402,1, Sazman Barname,755000000.0,5.0
73,1399,2, Jeyhun,528500000.0,1.0
200,1401,3, Pasdaran,2450000000.0,10.0
130,1402,3, Sarv Azad,920000000.0,0.0
170,1402,3, Saadat Abad,5593000000.0,8.0
82,1401,2, Sadeghiyeh,866000000.0,2.0
54,1385,2, Enqelab Square,351000000.0,0.0
107,1402,2, Pasdaran,1350000000.0,10.0
105,1398,2, Tehran Sar,830000000.0,0.0
85,1402,2, Chitgar,765000000.0,9.0
180,1401,3, Pasdaran,2088000000.0,9.0
155,1388,3, Saadat Abad,2650000000.0,2.0
76,1388,2, Afsariyeh,40000000000.0,0.0
150,1394,3, Saadat Abad,2450000000.0,2.0
201,1387,3, Saadat Abad,3800000000.0,2.0
120,1399,3, Setareh Khan,1520000000.0,0.0
101,1401,2, Martyrs of Persian Gulf Lake,20000000.0,20.0
160,1402,3, Poonak,1910000000.0,2.0
142,1400,3, Saadat Abad,2670000000.0,4.0
118,1402,3, Narmak,2250000000.0,4.0
125,1385,3, Mirdamad,1625000000.0,2.0
100,1401,2, Chitgar,175000000.0,15.0
102,1402,2, Chitgar,175000000.0,13.0
130,1386,2, Poonak,1060000000.0,1.0
129,1401,2, Mobarakeh-ye Bahshti,387000000.0,4.0
140,1401,3, Mobarakeh Baheshti,420000000.0,3.0
87,1386,2, Ferdows Avenue,880000000.0,3.0
720,1396,4, Farmanieh,14500000000.0,11.0
76,1400,1, Aseman,960000000.0,1.0
52,1398,1, Salsabil,353000000.0,1.0
82,1401,2, Tajrish,1200000000.0,2.0
117,1401,2, Chitgar,936000000.0,11.0
77,1395,2, Marzdaran,900000000.0,5.0
150,1401,3, Shahrak-e Gharb,3700000000.0,7.0
75,1383,2, Pounak,740000000.0,3.0
120,1385,2, Saadat Abad,2100000000.0,5.0
70,1401,1, Elahiyeh,2300000000.0,1.0
50,1394,1, Doulab,590000000.0,2.0
145,1380,3, Pounak,2800000000.0,1.0
120,1401,2, Shadmehr,12590000000.0,4.0
122,1391,3, Chitgar,650000000.0,3.0
250,1401,3, Niavaran,85000000000.0,6.0
75,1397,2, Mobarakeh Baheshti,18750000000.0,3.0
110,1370,2, Jahad,880000000.0,2.0
210,1380,3, Qeytarieh,24350000000.0,4.0
128,1391,2, Bagh-e Khazaneh,6848000000.0,5.0
